"date","home_team","away_team","home_goals","away_goals","neutral"
"2008-08-20 21:45:00","Iceland","Azerbaijan",1,1,0
"2008-08-20 22:00:00","Libya","Senegal",0,0,0
"2008-08-21 02:00:00","Bolivia","Panama",1,0,0
"2008-08-21 02:15:00","Colombia","Ecuador",0,1,0
"2008-08-24 18:00:00","Qatar","Korea DPR",2,1,0
"2008-08-30 19:45:00","Saudi Arabia","Qatar",2,1,0
"2008-09-05 13:00:00","Korea Republic","Jordan",1,0,0
"2008-09-06 19:30:00","Oman","Morocco",0,0,0
"2008-09-06 20:45:00","Netherlands","Australia",1,2,0
"2008-09-06 21:00:00","Argentina","Paraguay",1,1,0
"2008-09-06 23:10:00","Ecuador","Bolivia",3,1,0
"2008-09-07 01:20:00","Colombia","Uruguay",0,1,0
"2008-09-07 03:30:00","Peru","Venezuela",1,0,0
"2008-09-08 03:00:00","Chile","Brazil",0,3,0
"2008-09-09 18:00:00","South Africa","Guinea",0,1,0
"2008-09-10 02:00:00","Paraguay","Venezuela",2,0,0
"2008-09-10 20:00:00","Oman","Zimbabwe",3,2,0
"2008-09-10 22:40:00","Uruguay","Ecuador",0,0,0
"2008-09-11 00:40:00","Chile","Colombia",4,0,0
"2008-09-11 02:50:00","Brazil","Bolivia",0,0,0
"2008-09-11 04:30:00","Peru","Argentina",1,1,0
"2008-09-25 05:00:00","Mexico","Chile",0,1,0
"2008-10-10 14:30:00","Malaysia","Pakistan",4,1,0
"2008-10-11 21:00:00","Bolivia","Peru",3,0,0
"2008-10-11 23:10:00","Argentina","Uruguay",2,1,0
"2008-10-12 01:20:00","Colombia","Paraguay",0,1,0
"2008-10-12 22:00:00","Venezuela","Brazil",0,4,0
"2008-10-12 23:55:00","Ecuador","Chile",1,0,0
"2008-10-14 21:00:00","France","Tunisia",3,1,0
"2008-10-14 22:00:00","Bolivia","Uruguay",2,2,0
"2008-10-15 17:15:00","Bahrain","Azerbaijan",1,2,0
"2008-10-15 20:00:00","South Africa","Ghana",2,1,0
"2008-10-15 23:10:00","Paraguay","Peru",1,0,0
"2008-10-16 01:15:00","Chile","Argentina",1,0,0
"2008-10-16 03:00:00","Brazil","Colombia",0,0,0
"2008-10-16 03:20:00","Venezuela","Ecuador",3,1,0
"2008-10-26 16:30:00","Palestine","Jordan",1,1,0
"2008-10-28 10:50:00","Thailand","Korea DPR",1,0,0
"2008-11-08 17:30:00","Saudi Arabia","Thailand",1,0,0
"2008-11-12 17:35:00","Saudi Arabia","Bahrain",4,0,0
"2008-11-12 19:00:00","Estonia","Latvia",1,1,0
"2008-11-13 04:00:00","Mexico","Ecuador",2,1,0
"2008-11-14 12:00:00","Oman","Jordan",2,0,0
"2008-11-14 16:00:00","Qatar","Korea Republic",1,1,0
"2008-11-15 10:00:00","Indonesia","Myanmar",1,2,0
"2008-11-18 09:30:00","Myanmar","Malaysia",4,1,0
"2008-11-18 17:00:00","Estonia","Moldova",1,0,0
"2008-11-18 20:00:00","Algeria","Mali",1,1,0
"2008-11-19 14:30:00","Oman","Paraguay",0,1,0
"2008-11-19 14:30:00","Malta","Iceland",0,1,0
"2008-11-19 17:00:00","Azerbaijan","Albania",1,1,0
"2008-11-19 17:00:00","Lithuania","Moldova",1,1,0
